Greek Letter, Pronunciation (if different), [Pronunciation 2], ...

alpha
beta
gamma
delta
epsilon,epsilon,absalom
zeta
theta
iota
kappa
lambda
mu
nu,new
xi,z
pi
rho,ro,wrote
sigma
tau,tau,towel,town
upsilon
phi,phi,five
chi,kai
psi,psi,sigh
omega

Gamma,capital gamma
Delta,capital delta
Theta,capital theta
Lambda,capital lambda
Xi,capital z
Pi,capital pie
Sigma,capital sigma
Upsilon,capital upsilon
Phi,capital phi,capital five
Omega,capital omega
