Command, Pronunciation (if different), [Pronunciation 2], ...

bigskip,big skip
item
maketitle,make title
medskip,med skip,mid skip,medium skip
noindent,no indent
pagebreak,page break
parindent,pair indent,part indent
parskip,pair skip,part skip
printbibliography,print bibliography
tableofcontents,table of contents
backslash,escape backslash,escaped backslash
